go_id,go_name,toxicity_theme,mapped
GO:0000086,G2/M transition of mitotic cell cycle,,0
GO:0000122,negative regulation of transcription by RNA polymerase II,,0
GO:0000165,MAPK cascade,,0
GO:0001501,skeletal system development,,0
GO:0001525,angiogenesis,,0
GO:0001541,ovarian follicle development,,0
GO:0001558,regulation of cell growth,,0
GO:0001569,branching involved in blood vessel morphogenesis,,0
GO:0001570,vasculogenesis,,0
GO:0001657,ureteric bud development,,0
GO:0001701,in utero embryonic development,,0
GO:0001755,neural crest cell migration,,0
GO:0001759,organ induction,,0
GO:0001774,microglial cell activation,,0
GO:0001837,epithelial to mesenchymal transition,,0
GO:0001838,embryonic epithelial tube formation,,0
GO:0001934,positive regulation of protein phosphorylation,,0
GO:0001938,positive regulation of endothelial cell proliferation,,0
GO:0001944,vasculature development,,0
GO:0001945,lymph vessel development,,0
GO:0002053,positive regulation of mesenchymal cell proliferation,,0
GO:0002062,chondrocyte differentiation,,0
GO:0002318,myeloid progenitor cell differentiation,,0
GO:0002933,lipid hydroxylation,,0
GO:0003148,outflow tract septum morphogenesis,,0
GO:0003149,membranous septum morphogenesis,,0
GO:0003157,endocardium development,,0
GO:0003158,endothelium development,,0
GO:0003416,endochondral bone growth,,0
GO:0006082,organic acid metabolic process,,0
GO:0006325,chromatin organization,,0
GO:0006338,chromatin remodeling,,0
GO:0006468,protein phosphorylation,,0
GO:0006629,lipid metabolic process,,0
GO:0006631,fatty acid metabolic process,,0
GO:0006694,steroid biosynthetic process,,0
GO:0006699,bile acid biosynthetic process,,0
GO:0006706,steroid catabolic process,,0
GO:0006721,terpenoid metabolic process,,0
GO:0006778,porphyrin-containing compound metabolic process,,0
GO:0006805,xenobiotic metabolic process,,0
GO:0006811,monoatomic ion transport,,0
GO:0006820,monoatomic anion transport,,0
GO:0006855,xenobiotic transmembrane transport,,0
GO:0006869,lipid transport,,0
GO:0006935,chemotaxis,,0
GO:0007154,cell communication,,0
GO:0007165,signal transduction,,0
GO:0007166,cell surface receptor signaling pathway,,0
GO:0007167,enzyme-linked receptor protein signaling pathway,,0
GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,,0
GO:0007186,G protein-coupled receptor signaling pathway,,0
GO:0007204,positive regulation of cytosolic calcium ion concentration,,0
GO:0007259,cell surface receptor signaling pathway via JAK-STAT,,0
GO:0007267,cell-cell signaling,,0
GO:0007283,spermatogenesis,,0
GO:0007399,nervous system development,,0
GO:0007409,axonogenesis,,0
GO:0007435,salivary gland morphogenesis,,0
GO:0007497,posterior midgut development,,0
GO:0007498,mesoderm development,,0
GO:0007507,heart development,,0
GO:0007565,female pregnancy,,0
GO:0007566,embryo implantation,,0
GO:0007595,lactation,,0
GO:0007605,sensory perception of sound,,0
GO:0007611,learning or memory,,0
GO:0007623,circadian rhythm,,0
GO:0008202,steroid metabolic process,,0
GO:0008203,cholesterol metabolic process,,0
GO:0008206,bile acid metabolic process,,0
GO:0008209,androgen metabolic process,,0
GO:0008210,estrogen metabolic process,,0
GO:0008284,positive regulation of cell population proliferation,,0
GO:0008285,negative regulation of cell population proliferation,,0
GO:0008360,regulation of cell shape,,0
GO:0008543,fibroblast growth factor receptor signaling pathway,,0
GO:0008589,regulation of smoothened signaling pathway,,0
GO:0009403,toxin biosynthetic process,,0
GO:0009404,toxin metabolic process,,0
GO:0009410,response to xenobiotic stimulus,,0
GO:0009755,hormone-mediated signaling pathway,,0
GO:0009791,post-embryonic development,,0
GO:0009804,coumarin metabolic process,,0
GO:0009820,alkaloid metabolic process,,0
GO:0009822,alkaloid catabolic process,,0
GO:0009880,embryonic pattern specification,,0
GO:0009887,animal organ morphogenesis,,0
GO:0010467,gene expression,,0
GO:0010468,regulation of gene expression,,0
GO:0010518,positive regulation of phospholipase activity,,0
GO:0010595,positive regulation of endothelial cell migration,,0
GO:0010604,positive regulation of macromolecule metabolic process,,0
GO:0010628,positive regulation of gene expression,,0
GO:0010629,negative regulation of gene expression,,0
GO:0010839,negative regulation of keratinocyte proliferation,,0
GO:0010966,regulation of phosphate transport,,0
GO:0014805,smooth muscle adaptation,,0
GO:0014909,smooth muscle cell migration,,0
GO:0014911,positive regulation of smooth muscle cell migration,,0
GO:0015695,organic cation transport,,0
GO:0015711,organic anion transport,,0
GO:0015721,bile acid and bile salt transport,,0
GO:0015722,canalicular bile acid transport,,0
GO:0015732,prostaglandin transport,,0
GO:0015742,alpha-ketoglutarate transport,,0
GO:0015747,urate transport,,0
GO:0015847,putrescine transport,,0
GO:0015878,biotin transport,,0
GO:0016098,monoterpenoid metabolic process,,0
GO:0016239,positive regulation of macroautophagy,,0
GO:0016331,morphogenesis of embryonic epithelium,,0
GO:0016477,cell migration,,0
GO:0016567,protein ubiquitination,,0
GO:0018108,peptidyl-tyrosine phosphorylation,,0
GO:0018894,dibenzo-p-dioxin metabolic process,,0
GO:0019369,arachidonate metabolic process,,0
GO:0019373,epoxygenase P450 pathway,,0
GO:0019627,urea metabolic process,,0
GO:0021553,olfactory nerve development,,0
GO:0021769,orbitofrontal cortex development,,0
GO:0021847,ventricular zone neuroblast division,,0
GO:0022612,gland morphogenesis,,0
GO:0030031,cell projection assembly,,0
GO:0030041,actin filament polymerization,,0
GO:0030097,hemopoiesis,,0
GO:0030099,myeloid cell differentiation,,0
GO:0030148,sphingolipid biosynthetic process,,0
GO:0030154,cell differentiation,,0
GO:0030177,positive regulation of Wnt signaling pathway,,0
GO:0030218,erythrocyte differentiation,,0
GO:0030282,bone mineralization,,0
GO:0030324,lung development,,0
GO:0030326,embryonic limb morphogenesis,,0
GO:0030335,positive regulation of cell migration,,0
GO:0030513,positive regulation of BMP signaling pathway,,0
GO:0030855,epithelial cell differentiation,,0
GO:0030901,midbrain development,,0
GO:0030916,otic vesicle formation,,0
GO:0031069,hair follicle morphogenesis,,0
GO:0031667,response to nutrient levels,,0
GO:0031998,regulation of fatty acid beta-oxidation,,0
GO:0032218,riboflavin transport,,0
GO:0032259,methylation,,0
GO:0032496,response to lipopolysaccharide,,0
GO:0032787,monocarboxylic acid metabolic process,,0
GO:0032808,lacrimal gland development,,0
GO:0032956,regulation of actin cytoskeleton organization,,0
GO:0033076,isoquinoline alkaloid metabolic process,,0
GO:0033619,membrane protein proteolysis,,0
GO:0033688,regulation of osteoblast proliferation,,0
GO:0035094,response to nicotine,,0
GO:0035162,embryonic hemopoiesis,,0
GO:0035265,organ growth,,0
GO:0035441,cell migration involved in vasculogenesis,,0
GO:0035556,intracellular signal transduction,,0
GO:0035607,fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development,,0
GO:0035726,common myeloid progenitor cell proliferation,,0
GO:0035791,platelet-derived growth factor receptor-beta signaling pathway,,0
GO:0035793,positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway,,0
GO:0035799,ureter maturation,,0
GO:0035909,aorta morphogenesis,,0
GO:0035924,cellular response to vascular endothelial growth factor stimulus,,0
