uniprot_id,go_id,aspect,evidence_code,assigned_by
O60674,GO:0032760,P,ISS,BHF-UCL
O60674,GO:0032760,P,IEA,Ensembl
O60674,GO:1901731,P,IDA,ARUK-UCL
O60674,GO:0007167,P,IEA,Ensembl
O60674,GO:0007259,P,IEA,Ensembl
O60674,GO:0008285,P,IEA,Ensembl
O60674,GO:0010572,P,IDA,ARUK-UCL
O60674,GO:0030099,P,IEA,Ensembl
O60674,GO:0030154,P,IEA,Ensembl
O60674,GO:0034050,P,IEA,Ensembl
O60674,GO:0035556,P,IEA,Ensembl
O60674,GO:0036016,P,IEA,Ensembl
O60674,GO:0043066,P,IEA,Ensembl
O60674,GO:0046677,P,IDA,MGI
O60674,GO:0060391,P,IGI,MGI
O60674,GO:0061180,P,IEA,Ensembl
O60674,GO:0071222,P,IEA,Ensembl
O60674,GO:0071549,P,IEA,Ensembl
O60674,GO:0097191,P,IEA,Ensembl
O60674,GO:2001235,P,IEA,Ensembl
O60674,GO:0001774,P,ISS,ARUK-UCL
O60674,GO:0001774,P,IEA,Ensembl
O60674,GO:0001819,P,IEA,UniProt
O60674,GO:0002250,P,IEA,UniProt
O60674,GO:0002376,P,IEA,UniProt
O60674,GO:0006325,P,IEA,UniProt
O60674,GO:0006338,P,IEA,GOC
O60674,GO:0006915,P,ISS,BHF-UCL
O60674,GO:0006979,P,IEA,Ensembl
O60674,GO:0007155,P,IDA,UniProt
O60674,GO:0007165,P,ISS,UniProt
O60674,GO:0007165,P,IEA,Ensembl
O60674,GO:0007167,P,ISS,BHF-UCL
O60674,GO:0007204,P,IEA,Ensembl
O60674,GO:0007259,P,ISS,ARUK-UCL
O60674,GO:0007259,P,ISS,BHF-UCL
O60674,GO:0007259,P,IEA,UniProt
O60674,GO:0007259,P,IDA,ComplexPortal
O60674,GO:0007259,P,IDA,ARUK-UCL
O60674,GO:0007498,P,TAS,PINC
O60674,GO:0008284,P,IEA,Ensembl
O60674,GO:0008284,P,IEA,UniProt
O60674,GO:0008285,P,ISS,BHF-UCL
O60674,GO:0008631,P,IEA,Ensembl
O60674,GO:0009755,P,IEA,Ensembl
O60674,GO:0010667,P,IEA,Ensembl
O60674,GO:0010811,P,IDA,BHF-UCL
O60674,GO:0019221,P,ISS,UniProt
O60674,GO:0019221,P,ISS,ARUK-UCL
O60674,GO:0019221,P,IEA,Ensembl
O60674,GO:0019221,P,IEA,UniProt
O60674,GO:0019221,P,IDA,BHF-UCL
O60674,GO:0019221,P,TAS,Reactome
O60674,GO:0022407,P,IEA,UniProt
O60674,GO:0022408,P,IEA,Ensembl
O60674,GO:0030041,P,NAS,BHF-UCL
O60674,GO:0030154,P,ISS,BHF-UCL
O60674,GO:0030218,P,ISS,UniProt
O60674,GO:0030218,P,IEA,Ensembl
O60674,GO:0030335,P,IEA,Ensembl
O60674,GO:0031103,P,IEA,Ensembl
O60674,GO:0031663,P,ISS,BHF-UCL
O60674,GO:0031663,P,IEA,Ensembl
O60674,GO:0031959,P,IEA,Ensembl
O60674,GO:0032024,P,IEA,Ensembl
O60674,GO:0032731,P,ISS,ARUK-UCL
O60674,GO:0032731,P,IEA,Ensembl
O60674,GO:0032760,P,ISS,ARUK-UCL
O60674,GO:0033194,P,IEA,Ensembl
O60674,GO:0033209,P,IDA,BHF-UCL
O60674,GO:0034612,P,IDA,BHF-UCL
O60674,GO:0035166,P,IEA,Ensembl
O60674,GO:0035556,P,IEA,InterPro
O60674,GO:0035556,P,ISS,BHF-UCL
O60674,GO:0035556,P,TAS,PINC
O60674,GO:0035722,P,IDA,BHF-UCL
O60674,GO:0035722,P,IDA,UniProt
O60674,GO:0038043,P,IDA,UniProt
O60674,GO:0038043,P,NAS,ComplexPortal
O60674,GO:0038065,P,IMP,ARUK-UCL
O60674,GO:0038155,P,IDA,UniProt
O60674,GO:0038156,P,IDA,UniProt
O60674,GO:0038157,P,IDA,ComplexPortal
O60674,GO:0038162,P,IDA,UniProt
O60674,GO:0038163,P,IDA,UniProt
O60674,GO:0042102,P,IEA,Ensembl
O60674,GO:0042307,P,IEA,Ensembl
O60674,GO:0042531,P,ISS,UniProt
O60674,GO:0042976,P,ISS,UniProt
O60674,GO:0043065,P,IEA,Ensembl
O60674,GO:0043410,P,IEA,Ensembl
O60674,GO:0043524,P,IEA,Ensembl
O60674,GO:0043687,P,IDA,UniProt
O60674,GO:0045087,P,IEA,UniProt
O60674,GO:0045348,P,ISS,ARUK-UCL
O60674,GO:0045348,P,IEA,Ensembl
O60674,GO:0045428,P,ISS,ARUK-UCL
O60674,GO:0045428,P,IEA,Ensembl
O60674,GO:0045429,P,IEA,Ensembl
O60674,GO:0045597,P,IEA,Ensembl
O60674,GO:0045944,P,ISS,ARUK-UCL
O60674,GO:0045944,P,ISS,BHF-UCL
O60674,GO:0045944,P,IEA,Ensembl
O60674,GO:0046425,P,ISS,BHF-UCL
O60674,GO:0046425,P,IEA,UniProt
O60674,GO:0046634,P,IEA,UniProt
O60674,GO:0046777,P,ISS,UniProt
O60674,GO:0048008,P,IEA,Ensembl
O60674,GO:0050727,P,IDA,BHF-UCL
O60674,GO:0050804,P,IEA,Ensembl
O60674,GO:0050867,P,IEA,Ensembl
O60674,GO:0050867,P,IEA,UniProt
O60674,GO:0051897,P,ISS,BHF-UCL
O60674,GO:0051897,P,IEA,Ensembl
O60674,GO:0051897,P,TAS,Reactome
O60674,GO:0060333,P,IEA,Ensembl
O60674,GO:0060333,P,TAS,Reactome
O60674,GO:0060396,P,IDA,BHF-UCL
O60674,GO:0060397,P,ISS,UniProt
O60674,GO:0060397,P,ISS,BHF-UCL
O60674,GO:0060397,P,IEA,Ensembl
O60674,GO:0060397,P,IEA,UniProt
O60674,GO:0060397,P,IDA,UniProt
O60674,GO:0060399,P,ISS,BHF-UCL
O60674,GO:0060399,P,IEA,Ensembl
O60674,GO:0061180,P,ISS,BHF-UCL
O60674,GO:0070102,P,TAS,Reactome
O60674,GO:0070665,P,IDA,ComplexPortal
O60674,GO:0070671,P,IDA,BHF-UCL
O60674,GO:0070757,P,TAS,Reactome
O60674,GO:0097191,P,ISS,BHF-UCL
O60674,GO:0120162,P,IEA,Ensembl
O60674,GO:0120162,P,ISS,YuBioLab
O60674,GO:0120186,P,IDA,UniProt
O60674,GO:0140546,P,IEA,Ensembl
O60674,GO:0140546,P,IEA,UniProt
O60674,GO:1900016,P,ISS,UniProt
O60674,GO:1900016,P,IEA,Ensembl
O60674,GO:1902533,P,IEA,UniProt
O60674,GO:1902728,P,IEA,Ensembl
O60674,GO:1904037,P,IEA,Ensembl
O60674,GO:1904707,P,IEA,Ensembl
O60674,GO:1905539,P,IEA,Ensembl
O95342,GO:0006631,P,ISS,UniProt
O95342,GO:0006631,P,IEA,Ensembl
O95342,GO:0006699,P,TAS,Reactome
O95342,GO:0006805,P,ISS,UniProt
O95342,GO:0006805,P,IMP,UniProt
O95342,GO:0006855,P,ISS,UniProt
O95342,GO:0006855,P,IMP,UniProt
O95342,GO:0006869,P,IEA,UniProt
O95342,GO:0008206,P,ISS,UniProt
O95342,GO:0008206,P,IMP,UniProt
O95342,GO:0008206,P,IDA,UniProt
O95342,GO:0015721,P,ISS,UniProt
O95342,GO:0015721,P,IEA,Ensembl
O95342,GO:0015721,P,IMP,UniProt
O95342,GO:0015721,P,IDA,UniProt
O95342,GO:0015721,P,TAS,Reactome
O95342,GO:0015722,P,ISS,UniProt
O95342,GO:0015722,P,IEA,Ensembl
O95342,GO:0015722,P,IEA,UniProt
O95342,GO:0015722,P,IMP,UniProt
O95342,GO:0015722,P,IDA,UniProt
O95342,GO:0016567,P,ISS,UniProt
O95342,GO:0016567,P,IMP,UniProt
O95342,GO:0031998,P,ISS,UniProt
O95342,GO:0031998,P,IEA,Ensembl
O95342,GO:0042632,P,ISS,UniProt
O95342,GO:0042632,P,IEA,Ensembl
O95342,GO:0046618,P,ISS,UniProt
O95342,GO:0046618,P,IMP,UniProt
O95342,GO:0055085,P,IEA,InterPro
O95342,GO:0055088,P,ISS,UniProt
O95342,GO:0055088,P,IEA,Ensembl
O95342,GO:0055091,P,ISS,UniProt
O95342,GO:0055091,P,IEA,Ensembl
O95342,GO:0120189,P,ISS,UniProt
O95342,GO:0120189,P,IEA,Ensembl
P04629,GO:0008285,P,IDA,UniProt
P04629,GO:0010976,P,IDA,UniProt
P04629,GO:0043547,P,IDA,UniProt
P04629,GO:0046579,P,IDA,UniProt
P04629,GO:0070374,P,IDA,UniProt
P04629,GO:1904646,P,IDA,ARUK-UCL
P04629,GO:0007399,P,IEA,Ensembl
P04629,GO:0030183,P,IEA,Ensembl
P04629,GO:0031175,P,IDA,MGI
P04629,GO:0038083,P,IDA,MGI
P04629,GO:0038180,P,IEA,Ensembl
P04629,GO:0042490,P,IEA,Ensembl
P04629,GO:0048666,P,IDA,MGI
P04629,GO:0051965,P,IEA,Ensembl
P04629,GO:0060384,P,IEA,Ensembl
P04629,GO:0061368,P,IEA,Ensembl
P04629,GO:0071363,P,IEA,Ensembl
P04629,GO:1990090,P,IEA,Ensembl
P04629,GO:0006468,P,IDA,UniProt
P04629,GO:0007169,P,IEA,InterPro
P04629,GO:0007283,P,IEA,Ensembl
P04629,GO:0007399,P,IEA,UniProt
