reaction,toxicity_theme,count
Product Prescribing Issue,Medication Error,131
Death,Severe Outcome,81
Fatigue,Oxidative Stress,67
Off Label Use,Medication Error,65
Diarrhoea,Oxidative Stress,52
Anaemia,Immune System,49
Asthenia,Oxidative Stress,47
Constipation,Other / Unmapped,43
Blood Pressure Increased,Cell Adhesion,43
Hypertension,Cell Adhesion,42
Disease Progression,Cell Death,39
White Blood Cell Count Decreased,Immune System,35
Pneumonia,Immune System,33
No Adverse Event,Other / Unmapped,33
Pyrexia,Immune System,31
Hospitalisation,Severe Outcome,30
Cough,Immune System,28
Dizziness,Neurological,26
Nausea,Oxidative Stress,26
Dyspnoea,Cell Adhesion,25
Pneumonitis,Immune System,24
Dry Mouth,Oxidative Stress,24
Platelet Count Decreased,Immune System,23
Arthralgia,Immune System,21
Pain,Other / Unmapped,21
Hepatic Function Abnormal,Cell Death,20
Interstitial Lung Disease,Immune System,18
Rash,Immune System,18
Product Dose Omission Issue,Medication Error,18
Decreased Appetite,Oxidative Stress,18
Headache,Neurological,18
Neutropenia,Immune System,17
Haemoglobin Decreased,Immune System,16
Stomatitis,Other / Unmapped,16
Back Pain,Other / Unmapped,15
Renal Impairment,Other / Unmapped,15
Oedema,Other / Unmapped,15
Taste Disorder,Other / Unmapped,15
Vomiting,Other / Unmapped,15
Urinary Tract Infection,Immune System,14
Fall,Other / Unmapped,13
Covid-19,Immune System,13
Hepatic Enzyme Increased,Other / Unmapped,12
Dysphagia,Other / Unmapped,12
Drug Ineffective,Other / Unmapped,12
Red Blood Cell Count Decreased,Other / Unmapped,12
Malaise,Other / Unmapped,11
Oedema Peripheral,Other / Unmapped,11
Hypotension,Other / Unmapped,11
Ageusia,Other / Unmapped,11
Pleural Effusion,Other / Unmapped,11
Face Oedema,Other / Unmapped,10
Aspartate Aminotransferase Increased,Other / Unmapped,10
Chills,Other / Unmapped,10
Myalgia,Other / Unmapped,10
Pain In Extremity,Other / Unmapped,10
Epistaxis,Other / Unmapped,10
Chest Discomfort,Other / Unmapped,9
Neutrophil Count Decreased,Other / Unmapped,9
Mouth Ulceration,Other / Unmapped,9
General Physical Health Deterioration,Other / Unmapped,9
Oropharyngeal Pain,Other / Unmapped,9
Peripheral Swelling,Other / Unmapped,9
Weight Increased,Other / Unmapped,9
Adverse Event,Other / Unmapped,9
Balance Disorder,Other / Unmapped,9
Abdominal Pain Upper,Other / Unmapped,9
Neuropathy Peripheral,Neurological,9
Muscular Weakness,Other / Unmapped,9
Gait Disturbance,Other / Unmapped,9
Swelling Face,Other / Unmapped,8
Dehydration,Other / Unmapped,8
Blood Creatinine Increased,Other / Unmapped,8
Insomnia,Other / Unmapped,8
Chest Pain,Other / Unmapped,8
Gastrointestinal Disorder,Other / Unmapped,8
Malignant Neoplasm Progression,Other / Unmapped,8
Ascites,Other / Unmapped,8
Herpes Zoster,Other / Unmapped,8
Transaminases Increased,Other / Unmapped,7
Alanine Aminotransferase Increased,Other / Unmapped,7
Myocardial Necrosis Marker Increased,Other / Unmapped,7
Blood Creatine Phosphokinase Increased,Other / Unmapped,7
Pulmonary Embolism,Cell Adhesion,7
Adverse Drug Reaction,Other / Unmapped,7
Condition Aggravated,Other / Unmapped,7
Abdominal Discomfort,Other / Unmapped,7
Lung Disorder,Other / Unmapped,7
Drug Intolerance,Other / Unmapped,7
Abdominal Pain,Other / Unmapped,7
Paraesthesia,Other / Unmapped,7
Dysphonia,Other / Unmapped,7
Heart Rate Increased,Other / Unmapped,7
Hypoaesthesia,Other / Unmapped,7
Neoplasm Malignant,Other / Unmapped,7
Liver Injury,Other / Unmapped,7
Infection,Immune System,6
Bone Pain,Other / Unmapped,6
Thrombosis,Cell Adhesion,6
Loss Of Consciousness,Other / Unmapped,6
Platelet Count Increased,Other / Unmapped,6
Blood Test Abnormal,Other / Unmapped,6
Blood Pressure Abnormal,Other / Unmapped,6
Nasopharyngitis,Other / Unmapped,6
Depression,Other / Unmapped,6
Syncope,Other / Unmapped,6
Thrombocytopenia,Other / Unmapped,6
Vision Blurred,Other / Unmapped,6
Surgery,Other / Unmapped,6
Myelosuppression,Other / Unmapped,5
Metastases To Central Nervous System,Other / Unmapped,5
Sepsis,Immune System,5
Weight Decreased,Other / Unmapped,5
Pulmonary Oedema,Other / Unmapped,5
Swelling Of Eyelid,Other / Unmapped,5
Haemorrhage,Other / Unmapped,5
Carcinoembryonic Antigen Increased,Other / Unmapped,5
Blood Sodium Decreased,Other / Unmapped,5
Illness,Other / Unmapped,5
Hypoxia,Other / Unmapped,5
Dyspepsia,Other / Unmapped,5
Pruritus,Other / Unmapped,5
Renal Function Test Abnormal,Other / Unmapped,5
Ill-Defined Disorder,Other / Unmapped,5
Metastases To Bone,Other / Unmapped,5
Lymphopenia,Other / Unmapped,5
Alopecia,Other / Unmapped,5
Drug Resistance,Other / Unmapped,5
Brain Neoplasm,Other / Unmapped,4
Confusional State,Other / Unmapped,4
Liver Function Test Increased,Other / Unmapped,4
Pancytopenia,Other / Unmapped,4
Hyperhidrosis,Other / Unmapped,4
Blood Glucose Increased,Other / Unmapped,4
Dysgeusia,Other / Unmapped,4
Hyponatraemia,Other / Unmapped,4
Full Blood Count Abnormal,Other / Unmapped,4
