reaction,count
Product Prescribing Issue,131
Death,81
Fatigue,67
Off Label Use,65
Diarrhoea,52
Anaemia,49
Asthenia,47
Constipation,43
Blood Pressure Increased,43
Hypertension,42
Disease Progression,39
White Blood Cell Count Decreased,35
Pneumonia,33
No Adverse Event,33
Pyrexia,31
Hospitalisation,30
Cough,28
Dizziness,26
Nausea,26
Dyspnoea,25
Pneumonitis,24
Dry Mouth,24
Platelet Count Decreased,23
Arthralgia,21
Pain,21
Hepatic Function Abnormal,20
Interstitial Lung Disease,18
Rash,18
Product Dose Omission Issue,18
Decreased Appetite,18
Headache,18
Neutropenia,17
Haemoglobin Decreased,16
Stomatitis,16
Back Pain,15
Renal Impairment,15
Oedema,15
Taste Disorder,15
Vomiting,15
Urinary Tract Infection,14
Fall,13
Covid-19,13
Hepatic Enzyme Increased,12
Dysphagia,12
Drug Ineffective,12
Red Blood Cell Count Decreased,12
Malaise,11
Oedema Peripheral,11
Hypotension,11
Ageusia,11
Pleural Effusion,11
Face Oedema,10
Aspartate Aminotransferase Increased,10
Chills,10
Myalgia,10
Pain In Extremity,10
Epistaxis,10
Chest Discomfort,9
Neutrophil Count Decreased,9
Mouth Ulceration,9
General Physical Health Deterioration,9
Oropharyngeal Pain,9
Peripheral Swelling,9
Weight Increased,9
Adverse Event,9
Balance Disorder,9
Abdominal Pain Upper,9
Neuropathy Peripheral,9
Muscular Weakness,9
Gait Disturbance,9
Swelling Face,8
Dehydration,8
Blood Creatinine Increased,8
Insomnia,8
Chest Pain,8
Gastrointestinal Disorder,8
Malignant Neoplasm Progression,8
Ascites,8
Herpes Zoster,8
Transaminases Increased,7
Alanine Aminotransferase Increased,7
Myocardial Necrosis Marker Increased,7
Blood Creatine Phosphokinase Increased,7
Pulmonary Embolism,7
Adverse Drug Reaction,7
Condition Aggravated,7
Abdominal Discomfort,7
Lung Disorder,7
Drug Intolerance,7
Abdominal Pain,7
Paraesthesia,7
Dysphonia,7
Heart Rate Increased,7
Hypoaesthesia,7
Neoplasm Malignant,7
Liver Injury,7
Infection,6
Bone Pain,6
Thrombosis,6
Loss Of Consciousness,6
Platelet Count Increased,6
Blood Test Abnormal,6
Blood Pressure Abnormal,6
Nasopharyngitis,6
Depression,6
Syncope,6
Thrombocytopenia,6
Vision Blurred,6
Surgery,6
Myelosuppression,5
Metastases To Central Nervous System,5
Sepsis,5
Weight Decreased,5
Pulmonary Oedema,5
Swelling Of Eyelid,5
Haemorrhage,5
Carcinoembryonic Antigen Increased,5
Blood Sodium Decreased,5
Illness,5
Hypoxia,5
Dyspepsia,5
Pruritus,5
Renal Function Test Abnormal,5
Ill-Defined Disorder,5
Metastases To Bone,5
Lymphopenia,5
Alopecia,5
Drug Resistance,5
Brain Neoplasm,4
Confusional State,4
Liver Function Test Increased,4
Pancytopenia,4
Hyperhidrosis,4
Blood Glucose Increased,4
Dysgeusia,4
Hyponatraemia,4
Full Blood Count Abnormal,4
Febrile Neutropenia,4
Pneumothorax,4
Hypogeusia,4
Toxicity To Various Agents,4
Anxiety,4
Immunodeficiency,4
Generalised Oedema,4
Discomfort,4
Eczema,4
Leukopenia,4
Neoplasm Progression,4
Hyperpyrexia,4
Metastatic Neoplasm,4
Hypothyroidism,4
Poor Quality Sleep,4
Cellulitis,4
Hypoalbuminaemia,4
Flatulence,4
Unevaluable Event,4
Limb Discomfort,4
Haemoptysis,4
Intentional Product Misuse,3
Gastritis,3
Hypoaesthesia Oral,3
Tachypnoea,3
Brain Fog,3
Periorbital Swelling,3
Hypersomnia,3
Back Disorder,3
Laboratory Test Abnormal,3
Myocardial Infarction,3
Somnolence,3
Oral Pain,3
Blood Alkaline Phosphatase Increased,3
Sinusitis,3
Bronchopulmonary Aspergillosis,3
Mucosal Inflammation,3
Fungal Foot Infection,3
Hyperkalaemia,3
Tumour Lysis Syndrome,3
Palmar-Plantar Erythrodysaesthesia Syndrome,3
Body Temperature Increased,3
Abdominal Distension,3
Respiratory Failure,3
Musculoskeletal Chest Pain,3
Enterocolitis,3
Dysuria,3
Dry Throat,3
Liver Disorder,3
Tooth Extraction,3
Pneumonia Fungal,3
Eye Swelling,3
Initial Insomnia,3
Labile Blood Pressure,3
Pneumocystis Jirovecii Pneumonia,3
Pneumonia Viral,3
Emergency Care,3
Product Use Issue,3
Muscle Spasms,3
Rash Macular,3
Influenza,3
Nocturia,3
Rhabdomyolysis,3
Productive Cough,3
Electrocardiogram Qt Prolonged,3
Loss Of Personal Independence In Daily Activities,3
Petechiae,3
Memory Impairment,3
Cardiac Disorder,3
Metastases To Lymph Nodes,3
Pulmonary Tuberculosis,3
Candida Infection,3
Swelling,3
Blood Calcium Decreased,3
Rib Fracture,3
Hepatitis B Reactivation,3
Pallor,3
Blood Glucose Decreased,3
Renal Disorder,3
Blood Potassium Decreased,3
Thyroid Hormones Increased,3
Feeling Abnormal,3
Transfusion,2
Prostate Infection,2
Hydrothorax,2
Pharyngeal Swelling,2
Liver Function Test Abnormal,2
Aphonia,2
Delirium,2
Bronchitis,2
Skin Discolouration,2
Odynophagia,2
Rash Erythematous,2
Pericardial Effusion,2
Pulmonary Haemorrhage,2
Blood Potassium Increased,2
Atelectasis,2
Colitis,2
Keratitis,2
Hyperphosphataemia,2
Scab,2
Impaired Healing,2
Intentional Product Use Issue,2
Spinal Operation,2
Tremor,2
Thyroid Cancer,2
Urinary Incontinence,2
Hip Arthroplasty,2
Burning Sensation,2
Pneumonia Bacterial,2
Eye Discharge,2
Choking,2
Hospice Care,2
Protein Total Decreased,2
Myocardial Injury,2
Salivary Hyposecretion,2
Sudden Death,2
Cerebral Infarction,2
Hepatotoxicity,2
Hypertensive Crisis,2
Pulmonary Thrombosis,2
Septic Shock,2
Diverticulitis,2
Blood Albumin Decreased,2
Vascular Rupture,2
Metastases To Liver,2
Hyperuricaemia,2
Hypocalcaemia,2
Cystitis Bacterial,2
Oesophageal Disorder,2
Dyspnoea Exertional,2
Toothache,2
Contrast Media Allergy,2
Skin Fissures,2
Influenza Like Illness,2
Viral Infection,2
Proteinuria,2
Respiratory Tract Infection Viral,2
Formication,2
Haemorrhoidal Haemorrhage,2
Blood Thyroid Stimulating Hormone Increased,2
Dysstasia,2
Urine Output Decreased,2
Heart Rate Decreased,2
Blood Calcitonin Increased,2
Bacterial Infection,2
Therapy Interrupted,2
Coccidioidomycosis,2
Blood Pressure Decreased,2
Oxygen Saturation Decreased,2
Muscle Injury,2
Tuberculosis,2
Ret Gene Mutation,2
Fluid Retention,2
Pneumonia Cytomegaloviral,2
Haematuria,2
Gastrooesophageal Reflux Disease,2
Head Discomfort,2
Onychoclasis,2
Product Use Complaint,2
Onychalgia,2
Troponin Increased,2
Lower Respiratory Tract Infection,2
Femur Fracture,2
Feeling Hot,2
Vertigo,2
Intentional Dose Omission,2
Thirst,2
Abscess,2
Therapy Change,2
Hypertransaminasaemia,2
Head Injury,2
Tendon Rupture,2
Amnesia,2
Pain Of Skin,2
Lethargy,2
Nervousness,2
Orthostatic Hypotension,2
Contusion,2
Dermatitis Contact,2
Catheter Site Pain,2
Application Site Erythema,2
Spinal Fusion Surgery,2
Cholangitis,2
Gangrene,2
Upper Gastrointestinal Haemorrhage,2
Lung Opacity,2
Faeces Discoloured,2
Gingival Swelling,2
Dry Skin,2
Agitation,1
Staphylococcal Infection,1
Wheezing,1
