source,edge_type,target,provenance,interaction_role,count
drug:Pralsetinib,binds_to,protein:RET,DrugBank,target,
drug:Pralsetinib,binds_to,protein:DDR1,DrugBank,target,
drug:Pralsetinib,binds_to,protein:NTRK3,DrugBank,target,
drug:Pralsetinib,binds_to,protein:FLT3,DrugBank,target,
drug:Pralsetinib,binds_to,protein:JAK1,DrugBank,target,
drug:Pralsetinib,binds_to,protein:JAK2,DrugBank,target,
drug:Pralsetinib,binds_to,protein:NTRK1,DrugBank,target,
drug:Pralsetinib,binds_to,protein:KDR,DrugBank,target,
drug:Pralsetinib,binds_to,protein:PDGFRB,DrugBank,target,
drug:Pralsetinib,binds_to,protein:FGFR1,DrugBank,target,
drug:Pralsetinib,binds_to,protein:FGFR2,DrugBank,target,
drug:Pralsetinib,binds_to,protein:CYP3A4,DrugBank,enzyme,
drug:Pralsetinib,binds_to,protein:CYP3A5,DrugBank,enzyme,
drug:Pralsetinib,binds_to,protein:CYP2D6,DrugBank,enzyme,
drug:Pralsetinib,binds_to,protein:CYP1A2,DrugBank,enzyme,
drug:Pralsetinib,binds_to,protein:CYP2C8,DrugBank,enzyme,
drug:Pralsetinib,binds_to,protein:CYP2C9,DrugBank,enzyme,
drug:Pralsetinib,binds_to,protein:ABCB1,DrugBank,transporter,
drug:Pralsetinib,binds_to,protein:ABCG2,DrugBank,transporter,
drug:Pralsetinib,binds_to,protein:SLCO1B1,DrugBank,transporter,
drug:Pralsetinib,binds_to,protein:SLCO1B3,DrugBank,transporter,
drug:Pralsetinib,binds_to,protein:SLC22A6,DrugBank,transporter,
drug:Pralsetinib,binds_to,protein:SLC47A1,DrugBank,transporter,
drug:Pralsetinib,binds_to,protein:SLC47A2,DrugBank,transporter,
drug:Pralsetinib,binds_to,protein:ABCB11,DrugBank,transporter,
protein:JAK2,involved_in,go:GO:0001774,GOA,,
protein:JAK2,involved_in,go:GO:0001819,GOA,,
protein:JAK2,involved_in,go:GO:0002250,GOA,,
protein:JAK2,involved_in,go:GO:0002376,GOA,,
protein:JAK2,involved_in,go:GO:0006325,GOA,,
protein:JAK2,involved_in,go:GO:0006338,GOA,,
protein:JAK2,involved_in,go:GO:0006915,GOA,,
protein:JAK2,involved_in,go:GO:0006979,GOA,,
protein:JAK2,involved_in,go:GO:0007155,GOA,,
protein:JAK2,involved_in,go:GO:0007165,GOA,,
protein:JAK2,involved_in,go:GO:0007167,GOA,,
protein:JAK2,involved_in,go:GO:0007204,GOA,,
protein:JAK2,involved_in,go:GO:0007259,GOA,,
protein:JAK2,involved_in,go:GO:0007498,GOA,,
protein:JAK2,involved_in,go:GO:0008284,GOA,,
protein:JAK2,involved_in,go:GO:0008285,GOA,,
protein:JAK2,involved_in,go:GO:0008631,GOA,,
protein:JAK2,involved_in,go:GO:0009755,GOA,,
protein:JAK2,involved_in,go:GO:0010572,GOA,,
protein:JAK2,involved_in,go:GO:0010667,GOA,,
protein:JAK2,involved_in,go:GO:0010811,GOA,,
protein:JAK2,involved_in,go:GO:0019221,GOA,,
protein:JAK2,involved_in,go:GO:0022407,GOA,,
protein:JAK2,involved_in,go:GO:0022408,GOA,,
protein:JAK2,involved_in,go:GO:0030041,GOA,,
protein:JAK2,involved_in,go:GO:0030099,GOA,,
protein:JAK2,involved_in,go:GO:0030154,GOA,,
protein:JAK2,involved_in,go:GO:0030218,GOA,,
protein:JAK2,involved_in,go:GO:0030335,GOA,,
protein:JAK2,involved_in,go:GO:0031103,GOA,,
protein:ABCB11,involved_in,go:GO:0006631,GOA,,
protein:ABCB11,involved_in,go:GO:0006699,GOA,,
protein:ABCB11,involved_in,go:GO:0006805,GOA,,
protein:ABCB11,involved_in,go:GO:0006855,GOA,,
protein:ABCB11,involved_in,go:GO:0006869,GOA,,
protein:ABCB11,involved_in,go:GO:0008206,GOA,,
protein:ABCB11,involved_in,go:GO:0015721,GOA,,
protein:ABCB11,involved_in,go:GO:0015722,GOA,,
protein:ABCB11,involved_in,go:GO:0016567,GOA,,
protein:ABCB11,involved_in,go:GO:0031998,GOA,,
protein:ABCB11,involved_in,go:GO:0042632,GOA,,
protein:ABCB11,involved_in,go:GO:0046618,GOA,,
protein:ABCB11,involved_in,go:GO:0055085,GOA,,
protein:ABCB11,involved_in,go:GO:0055088,GOA,,
protein:ABCB11,involved_in,go:GO:0055091,GOA,,
protein:ABCB11,involved_in,go:GO:0120189,GOA,,
protein:NTRK1,involved_in,go:GO:0006468,GOA,,
protein:NTRK1,involved_in,go:GO:0007169,GOA,,
protein:NTRK1,involved_in,go:GO:0007283,GOA,,
protein:NTRK1,involved_in,go:GO:0007399,GOA,,
protein:NTRK1,involved_in,go:GO:0007411,GOA,,
protein:NTRK1,involved_in,go:GO:0007611,GOA,,
protein:NTRK1,involved_in,go:GO:0007623,GOA,,
protein:NTRK1,involved_in,go:GO:0008285,GOA,,
protein:NTRK1,involved_in,go:GO:0009410,GOA,,
protein:NTRK1,involved_in,go:GO:0010623,GOA,,
protein:NTRK1,involved_in,go:GO:0010976,GOA,,
protein:NTRK1,involved_in,go:GO:0018108,GOA,,
protein:NTRK1,involved_in,go:GO:0021553,GOA,,
protein:NTRK1,involved_in,go:GO:0030154,GOA,,
protein:NTRK1,involved_in,go:GO:0030183,GOA,,
