"ChEMBL ID";"Name";"Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL612558";"ADMET";"";"ADMET";"";"142422";"496635";"";"False"
"CHEMBL612545";"Unchecked";"";"UNCHECKED";"";"782405";"2291439";"";"False"
"CHEMBL4523582";"Replicase polyprotein 1ab";"P0DTD1";"SINGLE PROTEIN";"Severe acute respiratory syndrome coronavirus 2";"11766";"17929";"2697049";"False"
"CHEMBL4303835";"SARS-CoV-2";"";"ORGANISM";"Severe acute respiratory syndrome coronavirus 2";"11952";"40586";"2697049";"False"
"CHEMBL395";"HepG2";"";"CELL-LINE";"Homo sapiens";"182794";"201750";"9606";"False"
"CHEMBL3430904";"Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET";"P07949|Q16204";"CHIMERIC PROTEIN";"Homo sapiens";"65";"91";"9606";"False"
"CHEMBL1974";"Receptor-type tyrosine-protein kinase FLT3";"P36888";"SINGLE PROTEIN";"Homo sapiens";"8546";"19473";"9606";"False"
"CHEMBL3430888";"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET";"P07949|P33176";"CHIMERIC PROTEIN";"Homo sapiens";"146";"173";"9606";"False"
"CHEMBL2971";"Tyrosine-protein kinase JAK2";"O60674";"SINGLE PROTEIN";"Homo sapiens";"17559";"56207";"9606";"False"
"CHEMBL614524";"BaF3";"";"CELL-LINE";"Mus musculus";"2557";"6945";"10090";"False"
"CHEMBL2041";"Proto-oncogene tyrosine-protein kinase receptor Ret";"P07949";"SINGLE PROTEIN";"Homo sapiens";"6484";"78255";"9606";"False"
