go_id,go_name,k,n_targets,K,N_universe,odds_ratio,p_value,fdr_bh
GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,11,11,443,34737,inf,1.282516630271989e-21,8.878529602854153e-19
GO:0018108,peptidyl-tyrosine phosphorylation,8,11,52,34737,2101.939393939394,2.3554640782464835e-21,8.878529602854153e-19
GO:0018212,peptidyl-tyrosine modification,8,11,54,34737,2010.4347826086957,3.256184450924506e-21,8.878529602854153e-19
GO:0007167,enzyme-linked receptor protein signaling pathway,11,11,654,34737,inf,9.696327101629792e-20,1.9828988922832926e-17
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,9,11,215,34737,754.0776699029126,6.12748157909074e-19,1.002455986339245e-16
GO:0046777,protein autophosphorylation,8,11,111,34737,896.3883495145631,1.3757340344388035e-18,1.8755840669515687e-16
GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,9,11,307,34737,519.8859060402684,1.5841266676033997e-17,1.8511651629994016e-15
GO:0006468,protein phosphorylation,9,11,330,34737,482.3130841121495,3.0567652496936286e-17,3.1255424678117352e-15
GO:0016310,phosphorylation,9,11,377,34737,420.13858695652175,1.0248131843550026e-16,9.314413164471023e-15
GO:0043410,positive regulation of MAPK cascade,9,11,498,34737,315.0644171779141,1.2767150822418475e-15,1.0443529372738312e-13
GO:0018193,peptidyl-amino acid modification,8,11,294,34737,321.1188811188811,3.8635346484471555e-15,2.8730648567543395e-13
GO:1902533,positive regulation of intracellular signal transduction,10,11,1239,34737,272.55492270138325,3.425540961345893e-14,2.2135594019034724e-12
GO:0043408,regulation of MAPK cascade,9,11,719,34737,215.5943661971831,3.517881690066643e-14,2.2135594019034724e-12
GO:0007166,cell surface receptor signaling pathway,11,11,2372,34737,inf,1.4728173033173664e-13,8.605461100811471e-12
GO:0009967,positive regulation of signal transduction,10,11,1767,34737,187.6437108708025,1.188141976197743e-12,6.26122927872634e-11
GO:0071495,cellular response to endogenous stimulus,8,11,602,34737,153.2300785634119,1.2246903234672548e-12,6.26122927872634e-11
GO:0010647,positive regulation of cell communication,10,11,1993,34737,165.1185073121533,3.9457775926060486e-12,1.811153635992658e-10
GO:0023056,positive regulation of signaling,10,11,1995,34737,164.94206549118388,3.9854236488836e-12,1.811153635992658e-10
GO:1902531,regulation of intracellular signal transduction,10,11,2205,34737,148.20501138952164,1.0802929200734994e-11,4.6509453085269604e-10
GO:0006796,phosphate-containing compound metabolic process,9,11,1439,34737,104.77762237762238,1.7887425736831803e-11,7.054706300362084e-10
GO:0006793,phosphorus metabolic process,9,11,1441,34737,104.625,1.811110419408359e-11,7.054706300362084e-10
GO:0036211,protein modification process,9,11,1510,34737,99.60859427048634,2.7519809150430493e-11,1.0232365402296429e-09
GO:0009719,response to endogenous stimulus,8,11,928,34737,97.98840579710145,3.8699235443811716e-11,1.376346721436434e-09
GO:0048584,positive regulation of response to stimulus,10,11,2626,34737,122.74464831804282,6.147795627943541e-11,2.0953736765240905e-09
GO:0043412,macromolecule modification,9,11,1733,34737,86.14211136890951,9.42194689408226e-11,3.082861023743716e-09
GO:0071363,cellular response to growth factor stimulus,6,11,287,34737,147.09608540925268,1.3471455600886116e-10,4.238327185201863e-09
GO:0042127,regulation of cell population proliferation,9,11,1861,34737,79.87742980561555,1.779400256244025e-10,5.390923739287453e-09
GO:0043085,positive regulation of catalytic activity,6,11,304,34737,138.63624161073827,1.9042889765825563e-10,5.563244224444754e-09
GO:0070848,response to growth factor,6,11,326,34737,129.0225,2.897829357646153e-10,8.173877291567426e-09
GO:0010976,positive regulation of neuron projection development,5,11,154,34737,193.38366890380314,7.254357245519845e-10,1.9780214089450777e-08
GO:0044093,positive regulation of molecular function,6,11,387,34737,108.1732283464567,8.108125547070966e-10,2.1394989346787257e-08
GO:0009966,regulation of signal transduction,10,11,3443,34737,91.15351004951937,9.053667600617592e-10,2.314343780407872e-08
GO:0051094,positive regulation of developmental process,8,11,1466,34737,60.84682213077275,1.4545569547050369e-09,3.605538148329455e-08
GO:0048856,anatomical structure development,10,11,3650,34737,85.4010989010989,1.6147747341081054e-09,3.884958036765972e-08
GO:0016477,cell migration,7,11,918,34737,64.95746432491767,2.647619454524587e-09,6.187864896574606e-08
GO:0030154,cell differentiation,9,11,2545,34737,57.11947949526814,2.8820067177231613e-09,6.452287890183694e-08
GO:0022603,regulation of anatomical structure morphogenesis,7,11,931,34737,64.01893939393939,2.9185165273447027e-09,6.452287890183694e-08
GO:0023051,regulation of signaling,10,11,3941,34737,78.3388450775884,3.4512095952589903e-09,7.422527250933433e-08
GO:0010646,regulation of cell communication,10,11,3951,34737,78.11469170261356,3.5388577357751082e-09,7.422527250933433e-08
GO:0042221,response to chemical,9,11,2743,34737,52.656912948061446,5.600175485182631e-09,1.1330844409220645e-07
GO:0050790,regulation of catalytic activity,6,11,536,34737,77.42490566037736,5.679274092641155e-09,1.1330844409220645e-07
GO:0008284,positive regulation of cell population proliferation,7,11,1032,34737,57.53829268292683,5.952630706480479e-09,1.1593456947383409e-07
GO:0001934,positive regulation of protein phosphorylation,5,11,244,34737,120.24755927475593,7.325967851912525e-09,1.393637605317313e-07
GO:0060429,epithelium development,5,11,248,34737,118.25445816186557,7.947189479073757e-09,1.477454771336894e-07
GO:0032501,multicellular organismal process,10,11,4304,34737,70.87098276665114,8.249423180849036e-09,1.499561813763225e-07
GO:0051240,positive regulation of multicellular organismal process,8,11,1877,34737,46.87997146424113,1.0206947889856273e-08,1.8150616030222676e-07
GO:0042327,positive regulation of phosphorylation,5,11,266,34737,110.04150702426564,1.1283169057144062e-08,1.9637515507965624e-07
GO:0030335,positive regulation of cell migration,6,11,607,34737,68.13643926788686,1.1912768607739166e-08,2.0301343169022163e-07
GO:0048870,cell motility,7,11,1154,34737,51.2321272885789,1.2877967468202369e-08,2.1498321202019466e-07
GO:0051130,positive regulation of cellular component organization,7,11,1176,34737,50.23502994011976,1.4669520970979997e-08,2.399933630852328e-07
GO:0048583,regulation of response to stimulus,10,11,4692,34737,64.16915847928236,1.9348999147426088e-08,3.103427706391086e-07
GO:0048869,cellular developmental process,9,11,3220,34737,44.16614761756462,2.3125705638174908e-08,3.6378513869282837e-07
GO:2000147,positive regulation of cell motility,6,11,703,34737,58.58651362984218,2.850131380473684e-08,4.3988820174103275e-07
GO:0045937,positive regulation of phosphate metabolic process,5,11,329,34737,88.48251028806584,3.2598545594873367e-08,4.797193977210884e-07
GO:0010562,positive regulation of phosphorus metabolic process,5,11,329,34737,88.48251028806584,3.2598545594873367e-08,4.797193977210884e-07
GO:0040017,positive regulation of locomotion,6,11,720,34737,57.16302521008404,3.28414257608569e-08,4.797193977210884e-07
GO:0065009,regulation of molecular function,6,11,745,34737,55.18863328822734,4.020755196786275e-08,5.770136405212584e-07
GO:0031346,positive regulation of cell projection organization,5,11,357,34737,81.3778409090909,4.895999717727675e-08,6.905047877760756e-07
GO:0038084,vascular endothelial growth factor signaling pathway,3,11,25,34737,591.5454545454545,5.412187283497613e-08,7.503676606611944e-07
GO:0002053,positive regulation of mesenchymal cell proliferation,3,11,27,34737,542.21875,6.880512019216725e-08,9.2868487081785e-07
GO:0031401,positive regulation of protein modification process,5,11,384,34737,75.52110817941953,7.035870879627615e-08,9.2868487081785e-07
GO:0045860,positive regulation of protein kinase activity,4,11,135,34737,150.9051254089422,7.048553982686894e-08,9.2868487081785e-07
GO:0048513,animal organ development,7,11,1484,34737,39.394549763033176,7.265994099308362e-08,9.2868487081785e-07
