source,edge_type,target,provenance,evidence,score,count
drug:CHEMBL4582651,binds_to,target:O60674,ChEMBL,CHEMBL2971,,
drug:CHEMBL4582651,binds_to,target:P07949,ChEMBL,CHEMBL2041,,
drug:CHEMBL4582651,binds_to,target:P36888,ChEMBL,CHEMBL1974,,
target:P07949,associated_with,disease:MONDO_0008234,OpenTargets,,0.8590570617177663,
target:P07949,associated_with,disease:MONDO_0015277,OpenTargets,,0.8566028161465321,
target:P07949,associated_with,disease:MONDO_0008082,OpenTargets,,0.8195770613980476,
target:P07949,associated_with,disease:MONDO_0018309,OpenTargets,,0.7917668470982431,
target:P07949,associated_with,disease:MONDO_0008233,OpenTargets,,0.7780190512822527,
target:P07949,associated_with,disease:MONDO_0007958,OpenTargets,,0.7637061490904565,
target:P07949,associated_with,disease:EFO_0003060,OpenTargets,,0.6938691944750138,
target:P07949,associated_with,disease:MONDO_0017169,OpenTargets,,0.6701732771180998,
target:P07949,associated_with,disease:Orphanet_661,OpenTargets,,0.6461277301505867,
target:P07949,associated_with,disease:MONDO_0011719,OpenTargets,,0.6443224207845144,
target:P07949,associated_with,disease:MONDO_0018470,OpenTargets,,0.6404838134002379,
target:P07949,associated_with,disease:EFO_0000681,OpenTargets,,0.6394589073181678,
target:P07949,associated_with,disease:MONDO_0024519,OpenTargets,,0.6299515343532541,
target:P07949,associated_with,disease:EFO_0000616,OpenTargets,,0.6200878673162147,
target:P07949,associated_with,disease:EFO_0000239,OpenTargets,,0.6081570499450807,
target:P07949,associated_with,disease:MONDO_0005575,OpenTargets,,0.6005974315290271,
target:P07949,associated_with,disease:EFO_0003841,OpenTargets,,0.6001731754670924,
target:P07949,associated_with,disease:EFO_0002892,OpenTargets,,0.5851954128877033,
target:P07949,associated_with,disease:MONDO_0019003,OpenTargets,,0.5804095864033451,
target:P07949,associated_with,disease:MONDO_0015356,OpenTargets,,0.5749183087059581,
target:P07949,associated_with,disease:Orphanet_140162,OpenTargets,,0.5727013614136365,
target:P07949,associated_with,disease:MONDO_0002108,OpenTargets,,0.5491685637150723,
target:P07949,associated_with,disease:HP_0002251,OpenTargets,,0.5369730443325316,
target:P07949,associated_with,disease:MONDO_0800026,OpenTargets,,0.5285402566274219,
target:P07949,associated_with,disease:MONDO_0800031,OpenTargets,,0.5279858868453948,
target:P36888,associated_with,disease:EFO_0000222,OpenTargets,,0.809031944062074,
target:P36888,associated_with,disease:MONDO_0004992,OpenTargets,,0.6761008506974273,
target:P36888,associated_with,disease:EFO_0000616,OpenTargets,,0.6540797012692726,
target:P36888,associated_with,disease:MONDO_0011719,OpenTargets,,0.6449528155110851,
target:P36888,associated_with,disease:EFO_0000681,OpenTargets,,0.6389379937479617,
target:P36888,associated_with,disease:EFO_0000220,OpenTargets,,0.598054272102657,
target:P36888,associated_with,disease:EFO_0002430,OpenTargets,,0.5380922733127983,
target:P36888,associated_with,disease:EFO_0000209,OpenTargets,,0.523995907197211,
target:P36888,associated_with,disease:HP_0000924,OpenTargets,,0.5173620902709166,
target:P36888,associated_with,disease:EFO_1001901,OpenTargets,,0.5125559279123085,
target:P36888,associated_with,disease:EFO_0000182,OpenTargets,,0.4956297371362204,
target:P36888,associated_with,disease:EFO_0003060,OpenTargets,,0.4753823879332075,
target:P36888,associated_with,disease:EFO_0007359,OpenTargets,,0.4723050885996683,
target:P36888,associated_with,disease:EFO_0002892,OpenTargets,,0.4707089941192128,
target:P36888,associated_with,disease:EFO_0004251,OpenTargets,,0.4706796731023731,
target:P36888,associated_with,disease:EFO_0004705,OpenTargets,,0.4701677357145551,
target:P36888,associated_with,disease:EFO_0002429,OpenTargets,,0.4670608502710667,
target:P36888,associated_with,disease:EFO_1000045,OpenTargets,,0.4643052246618058,
target:P36888,associated_with,disease:EFO_1000562,OpenTargets,,0.4630322273845584,
target:P36888,associated_with,disease:EFO_0000349,OpenTargets,,0.4510981795623425,
target:P36888,associated_with,disease:EFO_0002618,OpenTargets,,0.4498435613212313,
target:P36888,associated_with,disease:EFO_0003865,OpenTargets,,0.4415760635986965,
target:P36888,associated_with,disease:EFO_0000389,OpenTargets,,0.4152883300991367,
target:P36888,associated_with,disease:EFO_0000313,OpenTargets,,0.4051053746159503,
target:P36888,associated_with,disease:MONDO_0002691,OpenTargets,,0.4048497698932883,
target:O60674,associated_with,disease:EFO_0002429,OpenTargets,,0.798586815571557,
