node_id,node_type,label,chembl_id,uniprot_id,chembl_target_id,ontology_id,faers_count
drug:CHEMBL4582651,Drug,Pralsetinib,CHEMBL4582651,,,,
target:O60674,Target,JAK2,,O60674,CHEMBL2971,,
target:P07949,Target,RET,,P07949,CHEMBL2041,,
target:P36888,Target,FLT3,,P36888,CHEMBL1974,,
disease:MONDO_0008234,Disease,multiple endocrine neoplasia type 2A,,,,MONDO_0008234,
disease:MONDO_0015277,Disease,medullary thyroid gland carcinoma,,,,MONDO_0015277,
disease:MONDO_0008082,Disease,multiple endocrine neoplasia type 2B,,,,MONDO_0008082,
disease:MONDO_0018309,Disease,Hirschsprung disease,,,,MONDO_0018309,
disease:MONDO_0008233,Disease,pheochromocytoma,,,,MONDO_0008233,
disease:MONDO_0007958,Disease,familial medullary thyroid carcinoma,,,,MONDO_0007958,
disease:EFO_0003060,Disease,non-small cell lung carcinoma,,,,EFO_0003060,
disease:MONDO_0017169,Disease,multiple endocrine neoplasia,,,,MONDO_0017169,
disease:Orphanet_661,Disease,Ondine syndrome,,,,Orphanet_661,
disease:MONDO_0011719,Disease,gastrointestinal stromal tumor,,,,MONDO_0011719,
disease:MONDO_0018470,Disease,renal agenesis,,,,MONDO_0018470,
disease:EFO_0000681,Disease,renal cell carcinoma,,,,EFO_0000681,
disease:MONDO_0024519,Disease,renal hypodysplasia/aplasia 1,,,,MONDO_0024519,
disease:EFO_0000616,Disease,neoplasm,,,,EFO_0000616,
disease:EFO_0000239,Disease,adrenal gland pheochromocytoma,,,,EFO_0000239,
disease:MONDO_0005575,Disease,colorectal cancer,,,,MONDO_0005575,
disease:EFO_0003841,Disease,thyroid neoplasm,,,,EFO_0003841,
disease:EFO_0002892,Disease,thyroid carcinoma,,,,EFO_0002892,
disease:MONDO_0019003,Disease,multiple endocrine neoplasia type 2,,,,MONDO_0019003,
disease:MONDO_0015356,Disease,hereditary neoplastic syndrome,,,,MONDO_0015356,
disease:Orphanet_140162,Disease,Inherited cancer-predisposing syndrome,,,,Orphanet_140162,
disease:MONDO_0002108,Disease,thyroid cancer,,,,MONDO_0002108,
disease:HP_0002251,Disease,Aganglionic megacolon,,,,HP_0002251,
disease:MONDO_0800026,Disease,"central hypoventilation syndrome, congenital, 1, with or without Hirschsprung disease",,,,MONDO_0800026,
disease:MONDO_0800031,Disease,"central hypoventilation syndrome, congenital",,,,MONDO_0800031,
disease:EFO_0000222,Disease,acute myeloid leukemia,,,,EFO_0000222,
disease:MONDO_0004992,Disease,cancer,,,,MONDO_0004992,
disease:EFO_0000220,Disease,acute lymphoblastic leukemia,,,,EFO_0000220,
disease:EFO_0002430,Disease,primary myelofibrosis,,,,EFO_0002430,
disease:EFO_0000209,Disease,T-cell acute lymphoblastic leukemia,,,,EFO_0000209,
disease:HP_0000924,Disease,Abnormality of the skeletal system,,,,HP_0000924,
disease:EFO_1001901,Disease,neuroendocrine neoplasm,,,,EFO_1001901,
disease:EFO_0000182,Disease,hepatocellular carcinoma,,,,EFO_0000182,
disease:EFO_0007359,Disease,mast-cell leukemia,,,,EFO_0007359,
disease:EFO_0004251,Disease,myeloproliferative disorder,,,,EFO_0004251,
disease:EFO_0004705,Disease,hypothyroidism,,,,EFO_0004705,
disease:EFO_0002429,Disease,polycythemia vera,,,,EFO_0002429,
disease:EFO_1000045,Disease,pancreatic neuroendocrine tumor,,,,EFO_1000045,
disease:EFO_1000562,Disease,Tenosynovial Giant Cell Tumor,,,,EFO_1000562,
disease:EFO_0000349,Disease,clear cell renal carcinoma,,,,EFO_0000349,
disease:EFO_0002618,Disease,pancreatic carcinoma,,,,EFO_0002618,
disease:EFO_0003865,Disease,kidney neoplasm,,,,EFO_0003865,
disease:EFO_0000389,Disease,cutaneous melanoma,,,,EFO_0000389,
disease:EFO_0000313,Disease,carcinoma,,,,EFO_0000313,
disease:MONDO_0002691,Disease,liver cancer,,,,MONDO_0002691,
disease:EFO_0000479,Disease,essential thrombocythemia,,,,EFO_0000479,
disease:HP_0001744,Disease,Splenomegaly,,,,HP_0001744,
disease:EFO_0005803,Disease,hematologic disease,,,,EFO_0005803,
disease:EFO_0000685,Disease,rheumatoid arthritis,,,,EFO_0000685,
disease:EFO_0000729,Disease,ulcerative colitis,,,,EFO_0000729,
disease:HP_0011974,Disease,Myelofibrosis,,,,HP_0011974,
disease:MONDO_0002243,Disease,hemorrhagic disease,,,,MONDO_0002243,
disease:EFO_0000384,Disease,Crohn's disease,,,,EFO_0000384,
disease:MONDO_0044903,Disease,myelofibrosis,,,,MONDO_0044903,
disease:HP_0002240,Disease,Hepatomegaly,,,,HP_0002240,
disease:EFO_0003778,Disease,psoriatic arthritis,,,,EFO_0003778,
disease:EFO_1000966,Disease,hepatic vein thrombosis,,,,EFO_1000966,
disease:HP_0000964,Disease,Eczematoid dermatitis,,,,HP_0000964,
disease:EFO_0005804,Disease,polycythemia,,,,EFO_0005804,
disease:MONDO_0013730,Disease,graft versus host disease,,,,MONDO_0013730,
disease:HP_0001873,Disease,Thrombocytopenia,,,,HP_0001873,
disease:EFO_0003767,Disease,inflammatory bowel disease,,,,EFO_0003767,
disease:EFO_0000676,Disease,psoriasis,,,,EFO_0000676,
disease:EFO_0003898,Disease,ankylosing spondylitis,,,,EFO_0003898,
ae:Product Prescribing Issue,AdverseEvent,Product Prescribing Issue,,,,,131.0
ae:Death,AdverseEvent,Death,,,,,81.0
ae:Fatigue,AdverseEvent,Fatigue,,,,,67.0
ae:Off Label Use,AdverseEvent,Off Label Use,,,,,65.0
ae:Diarrhoea,AdverseEvent,Diarrhoea,,,,,52.0
ae:Anaemia,AdverseEvent,Anaemia,,,,,49.0
ae:Asthenia,AdverseEvent,Asthenia,,,,,47.0
ae:Constipation,AdverseEvent,Constipation,,,,,43.0
ae:Blood Pressure Increased,AdverseEvent,Blood Pressure Increased,,,,,43.0
ae:Hypertension,AdverseEvent,Hypertension,,,,,42.0
ae:Disease Progression,AdverseEvent,Disease Progression,,,,,39.0
ae:White Blood Cell Count Decreased,AdverseEvent,White Blood Cell Count Decreased,,,,,35.0
ae:Pneumonia,AdverseEvent,Pneumonia,,,,,33.0
