uniprot_id,go_id,aspect
O60674,GO:0032760,P
O60674,GO:1901731,P
O60674,GO:0007167,P
O60674,GO:0007259,P
O60674,GO:0008285,P
O60674,GO:0010572,P
O60674,GO:0030099,P
O60674,GO:0030154,P
O60674,GO:0034050,P
O60674,GO:0035556,P
O60674,GO:0036016,P
O60674,GO:0043066,P
O60674,GO:0046677,P
O60674,GO:0060391,P
O60674,GO:0061180,P
O60674,GO:0071222,P
O60674,GO:0071549,P
O60674,GO:0097191,P
O60674,GO:2001235,P
O60674,GO:0000166,F
O60674,GO:0004672,F
O60674,GO:0004713,F
O60674,GO:0004715,F
O60674,GO:0005102,F
O60674,GO:0005131,F
O60674,GO:0005143,F
O60674,GO:0005515,F
O60674,GO:0005524,F
O60674,GO:0016301,F
O60674,GO:0016740,F
O60674,GO:0019901,F
O60674,GO:0020037,F
O60674,GO:0030546,F
O60674,GO:0031702,F
O60674,GO:0033130,F
O60674,GO:0035401,F
O60674,GO:0042169,F
O60674,GO:0042393,F
O60674,GO:0042802,F
O60674,GO:0043548,F
O60674,GO:0043560,F
O60674,GO:0046872,F
O60674,GO:0051428,F
O60674,GO:0001774,P
O60674,GO:0001819,P
O60674,GO:0002250,P
O60674,GO:0002376,P
O60674,GO:0006325,P
O60674,GO:0006338,P
O60674,GO:0006915,P
O60674,GO:0006979,P
O60674,GO:0007155,P
O60674,GO:0007165,P
O60674,GO:0007204,P
O60674,GO:0007498,P
O60674,GO:0008284,P
O60674,GO:0008631,P
O60674,GO:0009755,P
O60674,GO:0010667,P
O60674,GO:0010811,P
O60674,GO:0019221,P
O60674,GO:0022407,P
O60674,GO:0022408,P
O60674,GO:0030041,P
O60674,GO:0030218,P
O60674,GO:0030335,P
O60674,GO:0031103,P
O60674,GO:0031663,P
O60674,GO:0031959,P
O60674,GO:0032024,P
O60674,GO:0032731,P
O60674,GO:0033194,P
O60674,GO:0033209,P
O60674,GO:0034612,P
O60674,GO:0035166,P
O60674,GO:0035722,P
O60674,GO:0038043,P
O60674,GO:0038065,P
O60674,GO:0038155,P
O60674,GO:0038156,P
O60674,GO:0038157,P
O60674,GO:0038162,P
O60674,GO:0038163,P
O60674,GO:0042102,P
O60674,GO:0042307,P
O60674,GO:0042531,P
O60674,GO:0042976,P
O60674,GO:0043065,P
O60674,GO:0043410,P
O60674,GO:0043524,P
O60674,GO:0043687,P
O60674,GO:0045087,P
O60674,GO:0045348,P
O60674,GO:0045428,P
O60674,GO:0045429,P
O60674,GO:0045597,P
