protein_node_id,gnn_score
protein:RET,0.2689503
protein:DDR1,0.73038995
protein:NTRK3,0.73074836
protein:FLT3,0.26895386
protein:JAK1,0.73025364
protein:JAK2,0.7310285
protein:NTRK1,0.7305765
protein:KDR,0.730849
protein:PDGFRB,0.730447
protein:FGFR1,0.26894704
protein:FGFR2,0.7303185
protein:CYP3A4,0.26895028
protein:CYP3A5,0.26894993
protein:CYP2D6,0.26894894
protein:CYP1A2,0.26894987
protein:CYP2C8,0.2689487
protein:CYP2C9,0.268948
protein:ABCB1,0.26894996
protein:ABCG2,0.26894855
protein:SLCO1B1,0.26894888
protein:SLCO1B3,0.2689486
protein:SLC22A6,0.26894918
protein:SLC47A1,0.26894885
protein:SLC47A2,0.26894894
protein:ABCB11,0.26895043
