theme,posterior,prior_faers,evidence_paths,n_paths,faers_count
Haematological,0.27560501797812437,0.09278813749719164,0.9999593041838937,63,205.0
Neurological,0.18593253844712085,0.06537856661424399,0.9574313995293008,18,144.0
Immune/Infection,0.15039157148816798,0.05189844978656482,0.9755662656055399,30,114.0
Cardiovascular,0.10094451060537775,0.0581891709728151,0.5840206449097304,8,128.0
Proliferative,0.09019962130139633,0.03302628622781397,0.9194595674043013,21,72.0
Metabolic/Endocrine,0.04622868889365155,0.030779600089867444,0.5056339963138203,4,67.0
Pulmonary,0.03567661959175951,0.06672657829701191,0.17999999999999994,1,147.0
Renal,0.03440699760073286,0.014603459896652437,0.7931926428141481,9,31.0
Musculoskeletal,0.023183796569729243,0.04336104246236801,0.17999999999999994,1,95.0
Oedema/Fluid,0.019235357371521815,0.03302628622781397,0.19607768982220586,2,72.0
Hepatic,0.017898371445024132,0.03347562345540328,0.17999999999999994,1,73.0
Skin,0.010450726951121472,0.019546169400134802,0.17999999999999994,1,42.0
Cell Death/Apoptosis,0.00984618175492539,0.003819366434509099,0.8678889995149162,12,7.0
Other,9.322902650469727e-13,0.3138620534711301,0.0,0,697.0
